"n","effect_size_type","propensity_score_type","n_attempted","n_fit_failed","n_success","cohens_d_valid_ci","causal_es_valid_ci","causal_resi_valid_ci","cohens_d_coverage","causal_es_coverage","causal_resi_coverage"
100,1,1,100,1,99,99,99,96,0.97979797979798,0.93939393939394,0.979166666666667
100,1,2,100,3,97,97,97,95,0.845360824742268,0.948453608247423,0.957894736842105
100,1,3,100,6,94,94,94,94,0.957446808510638,0.936170212765957,0.978723404255319
100,2,1,100,1,99,99,99,99,0.95959595959596,0.97979797979798,0.828282828282828
100,2,2,100,3,97,97,97,97,0.917525773195876,0.948453608247423,0.907216494845361
100,2,3,100,5,95,95,95,94,0.821052631578947,0.989473684210526,0.936170212765957
100,3,1,100,1,99,99,99,99,0.909090909090909,0.94949494949495,0.696969696969697
100,3,2,100,4,96,96,96,96,0.677083333333333,0.947916666666667,0.84375
100,3,3,100,10,90,90,90,90,0.666666666666667,0.966666666666667,0.744444444444444
100,4,1,100,0,100,100,100,100,0.95,0.94,0.43
100,4,2,100,2,98,98,98,98,0.785714285714286,0.969387755102041,0.285714285714286
100,4,3,100,12,88,88,88,88,0.215909090909091,0.931818181818182,0.284090909090909
500,1,1,100,0,100,100,100,99,0.95,0.97,0.96969696969697
500,1,2,100,0,100,100,100,99,0.8,0.95,0.94949494949495
500,1,3,100,0,100,100,100,99,0.85,0.95,0.919191919191919
500,2,1,100,0,100,100,100,100,0.95,0.96,0.92
500,2,2,100,0,100,100,100,100,0.84,0.95,0.86
500,2,3,100,0,100,100,100,100,0.34,0.93,0.8
500,3,1,100,0,100,100,100,100,0.91,0.94,0.83
500,3,2,100,0,100,100,100,100,0.44,0.94,0.79
500,3,3,100,0,100,100,100,100,0.09,0.97,0.57
500,4,1,100,0,100,100,100,100,0.95,0.92,0.63
500,4,2,100,0,100,100,100,100,0.22,0.92,0.51
500,4,3,100,0,100,100,100,100,0,0.96,0.26
1000,1,1,100,0,100,100,100,100,0.96,0.97,0.95
1000,1,2,100,0,100,100,100,100,0.69,0.92,0.92
1000,1,3,100,1,99,99,99,99,0.737373737373737,0.878787878787879,0.898989898989899
1000,2,1,100,0,100,100,100,100,0.95,0.96,0.94
1000,2,2,100,0,100,100,100,100,0.75,0.93,0.9
1000,2,3,100,0,100,100,100,100,0.05,0.92,0.88
1000,3,1,100,0,100,100,100,100,0.93,0.96,0.88
1000,3,2,100,0,100,100,100,100,0.18,0.92,0.8
1000,3,3,100,0,100,100,100,100,0,0.89,0.7
1000,4,1,100,0,100,100,100,100,0.96,0.95,0.64
1000,4,2,100,0,100,100,100,100,0.08,0.91,0.52
1000,4,3,100,0,100,100,100,100,0,0.93,0.52
2000,1,1,100,0,100,100,100,100,0.94,0.95,0.95
2000,1,2,100,0,100,100,100,100,0.68,0.95,0.95
2000,1,3,100,0,100,100,100,100,0.59,0.96,0.9
2000,2,1,100,0,100,100,100,100,0.92,0.93,0.92
2000,2,2,100,0,100,100,100,100,0.65,0.94,0.9
2000,2,3,100,0,100,100,100,100,0,0.93,0.83
2000,3,1,100,0,100,100,100,100,0.9,0.96,0.86
2000,3,2,100,0,100,100,100,100,0.05,0.95,0.78
2000,3,3,100,0,100,100,100,100,0,0.92,0.51
2000,4,1,100,0,100,100,100,100,0.93,0.93,0.75
2000,4,2,100,0,100,100,100,100,0,0.93,0.58
2000,4,3,100,0,100,100,100,100,0,0.94,0.33
