"n","effect_size_type","propensity_score_type","true_es","true_resi","causal_es_n","causal_resi_n","causal_es_standardized_rmse","causal_resi_standardized_rmse"
100,1,1,0.209,0.104807527,99,99,1.57831637619338,0.927405014333754
100,1,2,0.209,0.081307998,97,97,2.58384736183474,0.977995198072508
100,1,3,0.209,0.089359379,94,94,2.60964140809235,1.02399884055353
100,2,1,0.557,0.285567719,99,99,0.539534563239439,0.580169990367667
100,2,2,0.557,0.239021586,97,97,1.29097885419567,0.571761803071286
100,2,3,0.557,0.239141267,95,95,6.25379320910598,0.606624846353537
100,3,1,0.876,0.471015216,99,99,0.383152703260899,0.406366320493152
100,3,2,0.876,0.370474379,96,96,0.670475643410535,0.444356103896717
100,3,3,0.876,0.40976536,90,90,1.45317193596361,0.471841624872115
100,4,1,1.868,1.517646588,100,100,0.16288741354989,0.250239917780857
100,4,2,1.868,1.418305385,98,98,0.204221910603401,0.339631461128661
100,4,3,1.868,1.35840761,88,88,0.533834868831703,0.3515884464623
500,1,1,0.209,0.104807527,100,100,0.471393722449167,0.499878685641876
500,1,2,0.209,0.081307998,100,100,0.588306816478903,0.612048622052326
500,1,3,0.209,0.089359379,100,100,0.834023759618424,0.651034385833585
500,2,1,0.557,0.285567719,100,100,0.174946790293053,0.177462169810167
500,2,2,0.557,0.239021586,100,100,0.209825300217191,0.234450588856739
500,2,3,0.557,0.239141267,100,100,0.24929295020655,0.32568989603383
500,3,1,0.876,0.471015216,100,100,0.128593249616253,0.136846787932508
500,3,2,0.876,0.370474379,100,100,0.157413397059632,0.19080704272682
500,3,3,0.876,0.40976536,100,100,0.267750440471779,0.291285292087677
500,4,1,1.868,1.517646588,100,100,0.0445812636486834,0.0719895320183706
500,4,2,1.868,1.418305385,100,100,0.05050737403437,0.108358316572841
500,4,3,1.868,1.35840761,100,100,0.0819968071348433,0.215970666904484
1000,1,1,0.209,0.104807527,100,100,0.288878624246186,0.31358752036616
1000,1,2,0.209,0.081307998,100,100,0.409953367289536,0.447066275751604
1000,1,3,0.209,0.089359379,99,99,0.459907996066199,0.419723366655132
1000,2,1,0.557,0.285567719,100,100,0.112657619351056,0.115757192144828
1000,2,2,0.557,0.239021586,100,100,0.147637520692611,0.15470160342837
1000,2,3,0.557,0.239141267,100,100,0.17856618942838,0.212477042439828
1000,3,1,0.876,0.471015216,100,100,0.0754998948957702,0.0854337939470812
1000,3,2,0.876,0.370474379,100,100,0.106344513344998,0.120541191118505
1000,3,3,0.876,0.40976536,100,100,0.132521091420772,0.20755025117286
1000,4,1,1.868,1.517646588,100,100,0.0267752857276502,0.0405905671304764
1000,4,2,1.868,1.418305385,100,100,0.0313983098897018,0.0592138137875267
1000,4,3,1.868,1.35840761,100,100,0.0425813123625247,0.121179317608089
2000,1,1,0.209,0.104807527,100,100,0.247910673351751,0.254621168545388
2000,1,2,0.209,0.081307998,100,100,0.278723052484926,0.294826796630932
2000,1,3,0.209,0.089359379,100,100,0.300835279052129,0.316776005258802
2000,2,1,0.557,0.285567719,100,100,0.0944980441660978,0.0946073730419561
2000,2,2,0.557,0.239021586,100,100,0.105156532884325,0.112421306958043
2000,2,3,0.557,0.239141267,100,100,0.11442996276356,0.148081428362344
2000,3,1,0.876,0.471015216,100,100,0.0619602111782625,0.0648584909093685
2000,3,2,0.876,0.370474379,100,100,0.075318530742657,0.0870143567525863
2000,3,3,0.876,0.40976536,100,100,0.0838921215267401,0.153744731672287
2000,4,1,1.868,1.517646588,100,100,0.0190909963730239,0.0262542237346496
2000,4,2,1.868,1.418305385,100,100,0.0220213161259144,0.0404384341427324
2000,4,3,1.868,1.35840761,100,100,0.0264755949360644,0.0892390557011993
