"n","effect_size_type","propensity_score_type","true_es","true_resi","n_success","causal_es_mean","causal_es_bias","causal_es_mse","causal_es_coverage","causal_resi_mean","causal_resi_bias","causal_resi_mse","causal_resi_coverage"
100,1,1,0.209,0.104807527,99,0.181613435053034,-0.0273865649469663,0.108812978323757,0.93939393939394,0.0592723663644903,-0.0455351606355097,0.00944765067084615,NA
500,1,1,0.209,0.104807527,100,0.216010091323157,0.00701009132315736,0.00970644418757816,0.97,0.0902381693811284,-0.0145693576188716,0.00274482199877902,NA
1000,1,1,0.209,0.104807527,100,0.214669223774968,0.00566922377496767,0.00364521699584496,0.97,0.099079367689786,-0.00572815931021401,0.00108019581250271,0.95
2000,1,1,0.209,0.104807527,100,0.212418794525096,0.00341879452509561,0.00268462124138984,0.95,0.102188936394619,-0.00261859060538096,0.000712154070871037,0.95
100,2,1,0.557,0.285567719,99,0.538583450781844,-0.0184165492181564,0.090312722216979,0.97979797979798,0.181943466151522,-0.103624252848478,0.0274491402989223,0.828282828282828
500,2,1,0.557,0.285567719,100,0.565437694046099,0.00843769404609906,0.00949559861296988,0.96,0.273897835205485,-0.0116698837945153,0.00256820566574028,0.92
1000,2,1,0.557,0.285567719,100,0.557679042333569,0.000679042333568758,0.00393759939439294,0.96,0.27845960373841,-0.00710811526159,0.00109273333723776,0.94
2000,2,1,0.557,0.285567719,100,0.556689876517985,-0.00031012348201517,0.00277048644908497,0.93,0.281077763763232,-0.0044899552367684,0.000729908115523304,0.92
100,3,1,0.876,0.471015216,99,0.883261953457055,0.00726195345705462,0.112655396464125,0.94949494949495,0.354720938079943,-0.116294277920057,0.0366357669233414,0.696969696969697
500,3,1,0.876,0.471015216,100,0.887003719700868,0.0110037197008683,0.0126895013107141,0.94,0.452908111845755,-0.0181071041542455,0.00415469445556489,0.83
1000,3,1,0.876,0.471015216,100,0.880809780691607,0.00480978069160747,0.0043742228651845,0.96,0.46075905302422,-0.0102561629757801,0.00161930724927194,0.88
2000,3,1,0.876,0.471015216,100,0.880875790526394,0.00487579052639395,0.00294600846849974,0.96,0.464966760675712,-0.0060484553242884,0.000933261936462992,0.86
100,4,1,1.868,1.517646588,100,1.95436681156655,0.0863668115665467,0.0925824775202079,0.94,1.24654163946478,-0.271104948535219,0.144229625909897,0.43
500,4,1,1.868,1.517646588,100,1.87840451631799,0.0104045163179926,0.00693519205540836,0.92,1.46327345439616,-0.0543731336038358,0.0119365824009951,0.63
1000,4,1,1.868,1.517646588,100,1.86965266841696,0.00165266841696478,0.00250162363745934,0.95,1.48444812228691,-0.0331984657130873,0.00379482312410132,0.64
2000,4,1,1.868,1.517646588,100,1.86978318202558,0.00178318202558338,0.00127177690487861,0.93,1.49339891211355,-0.0242476758864498,0.00158759478460085,0.75
100,1,2,0.209,0.081307998,97,0.279794448906684,0.0707944489066842,0.291626027094081,0.948453608247423,0.0517669599209744,-0.0295410380790256,0.00632324458044285,NA
500,1,2,0.209,0.081307998,100,0.21338922017975,0.0043892201797498,0.0151182085874932,0.95,0.0599245456226794,-0.0213834523773206,0.00247650029845314,NA
1000,1,2,0.209,0.081307998,100,0.218566820858461,0.00956682085846119,0.00734110588497998,0.92,0.0733861901200386,-0.00792180787996138,0.00132132714223923,0.92
2000,1,2,0.209,0.081307998,100,0.213721146447421,0.00472114644742063,0.00339342575315095,0.95,0.0778517789389207,-0.00345621906107934,0.000574646072919908,0.95
100,2,2,0.557,0.239021586,97,0.627177995609624,0.0701779956096237,0.517069174588005,0.948453608247423,0.166191001246846,-0.0728305847531541,0.0186768884485224,0.907216494845361
500,2,2,0.557,0.239021586,100,0.557457765796104,0.000457765796103754,0.0136592261869789,0.95,0.214885321764924,-0.024136264235076,0.00314034167944875,0.86
1000,2,2,0.557,0.239021586,100,0.558533549627856,0.00153354962785585,0.00676244704258254,0.93,0.228524020903152,-0.010497565096848,0.00136730020096674,0.9
2000,2,2,0.557,0.239021586,100,0.557472989836097,0.000472989836097083,0.00343070130276383,0.94,0.233198953488526,-0.00582263251147379,0.000722057041111567,0.9
100,3,2,0.876,0.370474379,96,1.02958300715722,0.153583007157224,0.344964356441234,0.947916666666667,0.275042337477798,-0.0954320415222016,0.0271005845104385,0.84375
500,3,2,0.876,0.370474379,100,0.885320542351141,0.00932054235114076,0.0190147926947133,0.94,0.337049662585424,-0.0334247164145757,0.00499695178011453,0.79
1000,3,2,0.876,0.370474379,100,0.881998283885956,0.0059982838859561,0.00867837452522922,0.92,0.354055091362601,-0.0164192876373988,0.00199428542217268,0.8
2000,3,2,0.876,0.370474379,100,0.88004426530923,0.00404426530922995,0.00435323278645291,0.95,0.360320707204036,-0.0101536717959639,0.00103919772077287,0.78
100,4,2,1.868,1.418305385,98,1.96836054882099,0.100360548820992,0.145531971813926,0.969387755102041,1.04234951257563,-0.375955872424369,0.232035978868904,0.285714285714286
500,4,2,1.868,1.418305385,100,1.88052114278312,0.0125211427831179,0.00890150259012552,0.92,1.32056021291722,-0.0977451720827827,0.0236191357518509,0.51
1000,4,2,1.868,1.418305385,100,1.86978222970254,0.00178222970253708,0.00344006213328919,0.91,1.36359472185422,-0.0547106631457758,0.00705318980134846,0.52
2000,4,2,1.868,1.418305385,100,1.87068035487873,0.00268035487873182,0.00169215556557432,0.93,1.3799377342885,-0.038367650711501,0.00328948692586656,0.58
100,1,3,0.209,0.089359379,94,0.271496667249541,0.0624966672495414,0.297477581447582,0.936170212765957,0.0707650349034185,-0.0185943440965815,0.00837296380462467,0.978723404255319
500,1,3,0.209,0.089359379,100,0.212324606499503,0.00332460649950303,0.0303843127842713,0.95,0.0622527044005042,-0.0271066745994958,0.003384450283392,NA
1000,1,3,0.209,0.089359379,99,0.231550847881164,0.0225508478811638,0.00923920265182182,0.878787878787879,0.0862701084659932,-0.00308927053400684,0.00140671649338778,0.898989898989899
2000,1,3,0.209,0.089359379,100,0.213346518337744,0.00434651833774378,0.00395321197041035,0.96,0.0800631234429379,-0.00929625555706206,0.000801280990248939,0.9
100,2,3,0.557,0.239141267,95,1.12237213433847,0.565372134338466,12.1338165181467,0.989473684210526,0.165458813845997,-0.073682453154003,0.0210450247274345,NA
500,2,3,0.557,0.239141267,100,0.550517019406833,-0.00648298059316685,0.0192810368538132,0.93,0.196794372569198,-0.0423468944308022,0.00606621254440502,0.8
1000,2,3,0.557,0.239141267,100,0.572189030872385,0.0151890308723848,0.00989256362727909,0.92,0.223708030935539,-0.0154332360644609,0.00258186230506743,0.88
2000,2,3,0.557,0.239141267,100,0.556784104524563,-0.00021589547543713,0.00406246753707978,0.93,0.22057806784815,-0.0185631991518495,0.00125403668543428,0.83
100,3,3,0.876,0.40976536,90,1.32743081780614,0.45143081780614,1.62047455654918,0.966666666666667,0.314172242742482,-0.0955931172575182,0.0373820389447615,0.744444444444444
500,3,3,0.876,0.40976536,100,0.891392980180513,0.0153929801805132,0.05501341440415,0.97,0.33789154775156,-0.0718738122484401,0.0142464807830042,0.57
1000,3,3,0.876,0.40976536,100,0.897298900117621,0.0212989001176206,0.0134765342796439,0.89,0.381820033210295,-0.0279453267897051,0.00723297577621731,0.7
2000,3,3,0.876,0.40976536,100,0.878620759944828,0.0026207599448281,0.00540070638352377,0.92,0.372479964444868,-0.0372853955551319,0.00396890743108631,0.51
100,4,3,1.868,1.35840761,88,2.27914281411113,0.411142814111129,0.994414890171862,0.931818181818182,1.00622022205778,-0.352187387942222,0.228102162390085,0.284090909090909
500,4,3,1.868,1.35840761,100,1.85135968093216,-0.0166403190678446,0.0234610598448823,0.96,1.16225731376302,-0.196150296236976,0.0860695932359866,0.26
1000,4,3,1.868,1.35840761,100,1.87236637642704,0.00436637642703904,0.00632691250231538,0.93,1.27393936910019,-0.0844682408998052,0.02709675077363,0.52
2000,4,3,1.868,1.35840761,100,1.870778203879,0.00277820387899797,0.00244593662268749,0.94,1.28278890719295,-0.0756187028070467,0.0146950187289598,0.33
